"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ (I(pos^2) + pos) * log_freq",1294.8133804392,0,1,0.36164499346293,0.0558819647940587,5.56515420140105,NA,0.337950531563496,NA,-0.846420036688602,-0.139769103095682,NA,0.0637453337492201,0.0161739467477961,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1296.36006926452,1.54668882531632,0.461467148083202,0.166887283751907,0.0528713144344826,5.44785672051836,-0.00846393753314213,0.103065234949101,NA,-0.741867261779937,NA,NA,0.0512232133628334,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1296.72857237549,1.91519193629506,0.383814479995918,0.138804585109102,0.0559539254427069,5.6993377573124,-0.0184769602318818,0.331365398445908,NA,-0.849414067676013,-0.139307420438761,NA,0.0647524612920422,0.0162239878959842,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1297.54086677176,2.72748633256151,0.255701848821048,0.0924732934453472,0.0569615619626051,5.69281491030139,-0.0224820116194625,0.595144331578717,-0.0354292542887168,-0.848759986648805,NA,-0.14632127384657,0.0654484742842716,NA,0.0182304830751745,NA,NA
"preserved ~ I(pos^2) + pos",1298.1460218856,3.33264144640566,0.188940954421167,0.0683295502265226,0.0479546233941047,5.39449029463694,NA,NA,NA,-0.741072598288922,NA,NA,0.0496099625304684,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1298.2821094116,3.46872897240564,0.176512340677056,0.0638348042902803,0.0529375177134262,5.43823441045956,-0.00883271429854477,0.16696530244009,-0.00790132400868645,-0.738411823325469,NA,NA,0.0508746301753019,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1299.71302727884,4.89964683964195,0.0863088255817438,0.0312131546633029,0.048322790343269,5.68265558213429,-0.0401709173745721,NA,NA,-0.745638603341179,NA,NA,0.0516001771079422,NA,NA,NA,NA
"preserved ~ stimlen * pos",1300.19884484282,5.38546440362029,0.0676957280788661,0.0244818211385499,0.0479097065733213,7.13330898060811,-0.324016182127277,NA,NA,-0.934116352008694,NA,NA,NA,NA,NA,0.0788401335799622,NA
"preserved ~ pos + log_freq",1300.98108938277,6.1677089435741,0.0457824489599633,0.0165569934548429,0.0455431244299239,4.39014483380923,NA,0.100671517264366,NA,-0.242502944575736,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1301.70716151633,6.89378107712719,0.0318445018396711,0.0115164046596381,0.0500278664334413,7.84193045629057,-0.334000460707407,NA,NA,-1.50671836428366,NA,NA,0.0953144193026112,NA,NA,0.106963695692316,-0.00687981399651613
"preserved ~ pos * log_freq",1302.7700516004,7.95667116119921,0.018716765975059,0.0067688247086974,0.0457226860201269,4.37475569449994,NA,0.0574184001368314,NA,-0.238304733303715,0.00881698840882269,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1302.82810678203,8.01472634283141,0.0181812729866609,0.00657516635040872,0.0456732906023439,4.23780319962164,0.0242301654273802,0.104553883394881,NA,-0.250903647830136,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",1304.36150666722,9.54812622802251,0.00844599331464846,0.00305445119706399,0.0409622826942919,4.41735473336351,NA,NA,NA,-0.253538546972275,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1304.58854822024,9.77516778104223,0.00753961702629272,0.00272666475018663,0.0458771113594443,4.23450245759018,0.0235220800323824,0.212548873030352,-0.0133668225131627,-0.250995465170634,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1304.65784265344,9.8444622142456,0.00728286385741188,0.00263381125210513,0.0458181555436194,4.2445588962034,0.0209172300441365,0.0647467068949188,NA,-0.245922962445037,0.00800589033988271,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1305.9727148845,11.1593344452995,0.00377382115206083,0.00136478352586731,0.0464010225483066,4.24010027295949,0.016831869385091,0.229582585367969,-0.0265298465247912,-0.240962769860715,NA,0.0179570112467877,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",1306.34423829695,11.5308578577524,0.00313405079055498,0.00113341377766275,0.0409769938046729,4.46627466524686,-0.00789710545965581,NA,NA,-0.250584937796562,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1338.04376248871,43.2303820495131,4.09865923831441e-10,1.48225959344699e-10,0.0138743243809954,4.36444795587229,-0.132058046858785,0.103526605641452,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1339.82375975548,45.0103793162853,1.68314029498673e-10,6.08699260977672e-11,0.0140630977529361,4.36154483631428,-0.132815862839224,0.206933877734045,-0.0127835055239408,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1341.51380596963,46.7004255304309,7.22988592269459e-11,2.61465204725062e-11,0.00917771539858209,4.59004194742937,-0.163613451263387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1350.18330446576,55.3699240265619,9.47488103902505e-13,3.42654329142026e-13,0,3.30293412787484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
