"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1116.29988436557,0,1,0.999690791716082,0.201060755519073,5.41165945719128,-1.66924269479122,0.0731740781271726,-0.788032187790681,NA,NA
"preserved ~ CumErr + pos",1128.71246464786,0,1,0.867023775830444,0.189287874329344,4.11347687637915,-1.62469074849054,NA,-0.102722166005299,NA,NA
"preserved ~ CumErr + CumPres",1131.17288973095,0,1,0.655811406028322,0.187274223950362,3.9310353924946,-1.73813097069799,NA,NA,NA,-0.0782749603037878
"preserved ~ CumErr",1132.46225675368,16.1623723881087,0.000309303923253791,0.000309208283918472,0.184580394158102,3.70223133147487,-1.76004748690059,NA,NA,NA,NA
"preserved ~ CumErr",1132.46225675368,0,1,0.709192758901253,0.184580394158102,3.70223133147487,-1.76004748690059,NA,NA,NA,NA
"preserved ~ CumErr",1132.46225675368,1.28936702272949,0.524828618117712,0.344188593971678,0.184580394158102,3.70223133147487,-1.76004748690059,NA,NA,NA,NA
"preserved ~ CumErr",1132.46225675368,3.74979210581773,0.153370908476172,0.132976224169556,0.184580394158102,3.70223133147487,-1.76004748690059,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1134.24519018958,1.78293343589758,0.410053878087097,0.290807241098747,0.1847582230947,3.90071986711369,-1.74356813264491,NA,NA,-0.0259092609330126,NA
"preserved ~ I(pos^2) + pos",1298.1460218856,181.846137520033,3.25546446983157e-40,3.25445785324949e-40,0.0479546233941047,5.39449029463694,NA,0.0496099625304684,-0.741072598288922,NA,NA
"preserved ~ pos",1304.36150666722,175.649042019359,7.21597715654732e-39,6.25642376057589e-39,0.0409622826942919,4.41735473336351,NA,NA,-0.253538546972275,NA,NA
"preserved ~ stimlen",1341.51380596963,209.05154921595,4.0274751652322e-46,2.85625622383731e-46,0.00917771539858209,4.59004194742937,NA,NA,NA,-0.163613451263387,NA
"preserved ~ CumPres",1348.4689953964,217.296105665447,6.527549670544e-48,4.28084152735917e-48,0.00319751014319481,3.51653318882947,NA,NA,NA,NA,-0.0738972182938193
