"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos",4659.14767401782,0,1,0.132024630554292,0.0100648867913163,1.25078363068544,NA,NA,NA,-0.0852246134379457,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",4659.19628480886,0.0486107910428473,0.975987601997224,0.128854402579253,0.01077425601162,1.041782516681,0.0322600796796202,NA,NA,-0.0954367533614784,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",4659.27859647645,0.130922458627538,0.936635360051335,0.123658937374863,0.011471029811867,1.2589863033292,NA,-0.0751302218216117,NA,-0.085609101021296,0.01364122916706,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",4659.83273432033,0.685060302510465,0.709971712524519,0.0937337530500474,0.0105429326779377,1.25860690333978,NA,-0.0214005937917014,NA,-0.0872138385884106,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",4660.20233146678,1.05465744896537,0.590179397652455,0.0779182169358197,0.0104085819854522,1.35162599368115,NA,NA,NA,-0.14679935292265,NA,NA,0.00700547015362313,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",4660.30490448417,1.15723046635048,0.560674232321256,0.0740228083835249,0.0118246808755728,1.10376287538699,0.0236785338844472,-0.0669685899993114,NA,-0.092748055062616,0.0127947194401921,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",4660.52380758937,1.37613357155078,0.502546660936218,0.0663485372463971,0.0110186330758826,1.07973034240294,0.0273053140050023,-0.0158201508835373,NA,-0.0953533984478991,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",4660.6373874764,1.48971345858445,0.474802320331619,0.0626856009281025,0.0109773612872449,1.13956222994008,0.0293109651324695,NA,NA,-0.142552573269977,NA,NA,0.00546727979276297,NA,NA,NA,NA
"preserved ~ stimlen * pos",4660.71003763168,1.56236361386345,0.457864583897865,0.0604494025330102,0.0109509616027148,1.24705646380506,0.00724987446229775,NA,NA,-0.161080928714301,NA,NA,NA,NA,NA,0.0077273069274845,NA
"preserved ~ stimlen * log_freq + pos",4661.75017159751,2.60249757969268,0.272191670513043,0.03593600473944,0.0112997191325421,1.11045932430636,0.0245507736384965,-0.0899402476237922,0.00958773959240391,-0.0955331220641094,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",4661.94086626987,2.79319225205472,0.247437779131537,0.0326678813750156,0.0112304389769312,1.18029787252475,0.0242041077538946,-0.0161041465438799,NA,-0.143481949549421,NA,NA,0.00558479699027708,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",4661.96320411439,2.81553009656909,0.244689541806414,0.0323050463574907,0.0119487677486374,1.37836731283284,NA,-0.0864413624832185,NA,-0.158025290041959,0.0190214639127642,NA,0.00822929278907398,-0.00047001612666345,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",4662.22824567316,3.0805716553441,0.214319834132187,0.028295496921759,0.0118525201027586,1.1126044747104,0.0229801268876114,-0.0882805118770728,0.00333287712683886,-0.0929946861902304,NA,0.0116813764577083,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",4663.09078422101,3.94311020318764,0.139240155175419,0.0183831300453569,0.0115392512543167,1.21914334676778,0.0211133822637949,-0.0940473147802379,0.0100773288999684,-0.146808614243924,NA,NA,0.00594716211778007,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",4663.32763926869,4.17996525087074,0.123689284846259,0.0163300321353519,0.0121795413042599,1.23543288397947,0.019461732914832,-0.0803651473140352,NA,-0.154493043597449,0.0189111524474501,NA,0.00715270492602539,-0.000555436097671887,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",4664.29001583181,5.14234181399297,0.0764459818638272,0.0100927525129319,0.0111035827627159,0.980731518188219,0.0447865798260085,NA,NA,0.00779299447519251,NA,NA,-0.0199517028498677,NA,NA,-0.0153694062140966,0.00265076373129261
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",4665.2348833565,6.08720933868244,0.047662770936213,0.00629265972404735,0.0122132178366975,1.24510867475754,0.0187099383795663,-0.106848323928735,0.00371730436315317,-0.154638968267393,NA,0.019332540975377,0.00712490760667898,NA,-0.000745592421361618,NA,NA
"preserved ~ 1",4684.730642539,25.5829685211838,2.78438297918185e-06,3.67607134148141e-07,-3.18242612759661e-16,0.916648449636779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",4686.06888606775,26.921212049936,1.4260445075865e-06,1.88272999268085e-07,0.000242302987011623,1.04810555284294,-0.0170185566425905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",4687.34232972339,28.1946557055726,7.54411506830908e-07,9.96009004752572e-08,0.000508285354623912,1.08747732256362,-0.0221149645746522,-0.0163815431339827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",4688.67623196908,29.5285579512592,3.87217620290953e-07,5.11222632630251e-08,0.00075209127842402,1.11591281683961,-0.0247483910788687,-0.0849949074075807,0.00886806891780546,NA,NA,NA,NA,NA,NA,NA,NA
