Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,I(pos^2),pos,stimlen,CumPres
preserved ~ CumErr + CumPres,4510.996941,0,1,0.999943124,0.063627343,1.061558916,-0.462343403,NA,NA,NA,0.098038971
preserved ~ CumErr + I(pos^2) + pos,4525.041065,0,1,0.940055502,0.0594063,1.266239754,-0.514873176,0.01294336,-0.058660293,NA,NA
preserved ~ CumErr + pos,4526.078783,0,1,0.903231803,0.058339634,1.085332102,-0.510302254,NA,0.052840188,NA,NA
preserved ~ CumErr + stimlen,4527.563238,0,1,0.816293348,0.057818081,0.876532198,-0.462119771,NA,NA,0.049203627,NA
preserved ~ CumErr,4530.546105,5.505039651,0.063766977,0.059944498,0.056065936,1.240945395,-0.441666754,NA,NA,NA,NA
preserved ~ CumErr,4530.546105,2.982867171,0.225049796,0.183706652,0.056065936,1.240945395,-0.441666754,NA,NA,NA,NA
preserved ~ CumErr,4530.546105,19.54916402,5.69E-05,5.69E-05,0.056065936,1.240945395,-0.441666754,NA,NA,NA,NA
preserved ~ CumErr,4530.546105,4.467321649,0.107135507,0.096768197,0.056065936,1.240945395,-0.441666754,NA,NA,NA,NA
preserved ~ pos,4659.147674,133.0688906,1.27E-29,1.15E-29,0.010064887,1.250783631,NA,NA,-0.085224613,NA,NA
preserved ~ I(pos^2) + pos,4660.202331,135.161266,4.47E-30,4.20E-30,0.010408582,1.351625994,NA,0.00700547,-0.146799353,NA,NA
preserved ~ CumPres,4676.119559,165.1226177,1.39E-36,1.39E-36,0.003880328,0.78605565,NA,NA,NA,NA,0.065608015
preserved ~ stimlen,4686.068886,158.5056482,3.81E-35,3.11E-35,0.000242303,1.048105553,NA,NA,NA,-0.017018557,NA
