"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos + log_freq",2638.60895727484,0,1,0.198391536042754,0.00817000410549008,2.16048250042194,NA,0.107311131824389,NA,0.0398571270365541,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2638.85931294994,0.250355675099854,0.882339975451804,0.17504878304181,0.00904962520216568,2.47102725467712,-0.0464340391068788,0.0973737671234313,NA,0.0522133056411942,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2639.8674957049,1.25853843005598,0.532981153340379,0.105738949693037,0.00854281198248495,2.17527426325333,NA,0.149341225118895,NA,0.0348125852142927,-0.0114417490071503,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2640.14387267292,1.53491539807919,0.464191684443125,0.0920917012949452,0.00940920525889369,2.31432014557909,-0.0416505353936624,0.0976475657749679,NA,0.13093301880377,NA,NA,-0.0093836283667184,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2640.27597644234,1.66701916749662,0.434521617142309,0.0862054110686444,0.00934281441954268,2.45943476149355,-0.0463120033028546,0.198620272245839,-0.0129733215006992,0.0522811301372893,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2640.31806622141,1.70910894657118,0.425472708319452,0.084410184147767,0.00932166110957491,2.46652291653715,-0.0439171730501698,0.13383576734514,NA,0.0473158522830298,-0.00977747801253147,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2640.75138325787,2.14242598302963,0.34259270323809,0.0679674926324442,0.00709243055466289,2.4752012484147,-0.0214248715247769,0.0975483013395565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2641.50586610748,2.89690883263438,0.234933116422091,0.04660874183429,0.00972981703362622,2.29598777502332,-0.0413070633732765,0.203266312117231,-0.0135320036951748,0.134047958942963,NA,NA,-0.00975019287215062,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2642.02787020813,3.41891293328672,0.180964125929782,0.0359017509118438,0.00946750246225812,2.45941578064273,-0.0446207295087254,0.200155072688614,-0.00978221939860149,0.0488258634452616,NA,-0.00709068531191187,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2642.08429776561,3.47534049076285,0.175929796792128,0.03490298262128,0.00943914490826774,2.03215748178018,NA,0.206922929410375,NA,0.126267835125354,-0.0479686764082565,NA,-0.0106315737886649,0.00417150439584901,NA,NA,NA
"preserved ~ stimlen * log_freq",2642.1784983587,3.56954108385435,0.167835567808109,0.0332971561000586,0.00738062605562081,2.46373741958421,-0.0212741769971008,0.197872797491605,-0.0128545916746397,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2642.89330331704,4.28434604220183,0.117399454148469,0.0232910580390957,0.0100375983145674,2.32046642086241,-0.0391631456282721,0.195453764342525,NA,0.118852045412045,-0.0481153286305691,NA,-0.00842534943452857,0.00438321036358045,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2644.43971533744,5.83075806259649,0.0541834899018327,0.0107495457897817,0.0102654748709373,2.31563042870237,-0.040155863350909,0.288658298789954,-0.012414310706177,0.118493673302721,NA,-0.0505778561566904,-0.00813636903289668,NA,0.00507303862477043,NA,NA
"preserved ~ stimlen + pos",2648.19419368484,9.58523640999738,0.00829072213054254,0.00164480909838199,0.0033447815572199,2.68956386630493,-0.0766400285177468,NA,NA,0.0524530746352481,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2649.5016376132,10.8926803383574,0.00431205724734031,0.000855475660804136,0.00369377353094121,3.0574181831099,-0.121096005418777,NA,NA,-0.0706178773425114,NA,NA,NA,NA,NA,0.0144513343192189,NA
"preserved ~ stimlen + I(pos^2) + pos",2649.54031477901,10.9313575041651,0.00422946931144147,0.000839090913342565,0.00367428485471997,2.54057560771455,-0.072151450362769,NA,NA,0.127505941242861,NA,NA,-0.00894113011984842,NA,NA,NA,NA
"preserved ~ stimlen",2650.13460836821,11.5256510933641,0.0031422205524707,0.000623389961989775,0.00135806991905408,2.69399003376942,-0.0515497802838345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2650.82612189051,12.217164615663,0.00222370110283845,0.000441163477492088,0,2.29574356117721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2650.99151371908,12.3825564442386,0.00204720829322274,0.000406148797891926,0.00495820417171092,3.16855979467444,-0.166901799299869,NA,NA,-0.0474492326637958,NA,NA,-0.0223361382346454,NA,NA,0.0330330711966687,7.11543613802309e-05
"preserved ~ pos",2651.36237607259,12.7534187977499,0.00170071011764911,0.00033740649260386,0.000738673998772828,2.18232395764452,NA,NA,NA,0.0300267086926991,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2651.98437638969,13.3754191148469,0.00124613370446023,0.000247222379742512,0.00143384831335677,2.0118184993959,NA,NA,NA,0.139399365834729,NA,NA,-0.0128240530759479,NA,NA,NA,NA
