"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",2619.89186629453,0,1,0.99561114316603,0.0175614713034381,2.18796797425373,-0.381083770086081,NA,NA,NA,0.0989637433324402
"preserved ~ CumErr + pos",2622.55863219883,0,1,0.983599854464435,0.0162258770073125,2.12480833173921,-0.467223469463043,NA,0.0872273134788349,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",2623.27212703226,0,1,0.976733299382519,0.0168702991083845,1.9597205122138,-0.466513961699407,-0.0124742123471975,0.193350329205061,NA,NA
"preserved ~ CumErr",2630.7465568409,7.4744298086357,0.023820352794371,0.0232661317773016,0.0111158842566417,2.41733672929545,-0.360504616994462,NA,NA,NA,NA
"preserved ~ CumErr",2630.7465568409,0,1,0.665047987739106,0.0111158842566417,2.41733672929545,-0.360504616994462,NA,NA,NA,NA
"preserved ~ CumErr",2630.7465568409,10.8546905463654,0.0043947471834125,0.00437545926720301,0.0111158842566417,2.41733672929545,-0.360504616994462,NA,NA,NA,NA
"preserved ~ CumErr",2630.7465568409,8.18792464206444,0.0166730385708892,0.0163995983118065,0.0111158842566417,2.41733672929545,-0.360504616994462,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",2632.11854552212,1.37198868121686,0.503589241307013,0.334911011578292,0.0114312260018767,2.6105627536184,-0.348463199396014,NA,NA,-0.025545379849157,NA
"preserved ~ CumPres",2642.32394416636,22.4320778718284,1.34566259717948e-05,1.33975667669363e-05,0.00529435715679101,2.08589217670251,NA,NA,NA,NA,0.087779976423694
"preserved ~ stimlen",2650.13460836821,19.3880515273072,6.16507129678975e-05,4.10006826019814e-05,0.00135806991905408,2.69399003376942,NA,NA,NA,-0.0515497802838345,NA
"preserved ~ pos",2651.36237607259,28.8037438737574,5.56347945661387e-07,5.47223758384128e-07,0.000738673998772828,2.18232395764452,NA,NA,0.0300267086926991,NA,NA
"preserved ~ I(pos^2) + pos",2651.98437638969,28.7122493574257,5.82390484448619e-07,5.68840179404483e-07,0.00143384831335677,2.0118184993959,NA,-0.0128240530759479,0.139399365834729,NA,NA
