"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1451.92715233722,0,1,0.212838783013204,0.0164841275816874,2.40660512835658,0.0333028920046906,0.437169391078594,-0.0390144243419231,0.303381238226238,NA,NA,-0.0389177269409498,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1452.15883947243,0.231687135218635,0.890614533361516,0.189557313414538,0.0162955153595713,2.75127645862453,NA,0.297146555948896,NA,0.264591141253384,-0.0673878793365967,NA,-0.0348268914430711,0.00447163394598036,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1452.47185275519,0.5447004179739,0.761587499594721,0.16209535657181,0.0144119316849625,2.41678333193467,0.0373642381804648,0.132746279141142,NA,0.293015429145419,NA,NA,-0.0376789562296217,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1453.32932970941,1.4021773721895,0.496044972455289,0.105577608257202,0.0169707532269181,2.39873796760024,0.0490056951209918,0.31314074868519,NA,0.272490721137869,-0.0681193454646734,NA,-0.0375061682937189,0.00430912830176199,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1454.16916222791,2.24200989069755,0.325952065963312,0.0693752410402711,0.0179149171319272,2.43364279026264,0.0402079430827247,0.534382686717594,-0.0299910310512161,0.271933313346953,NA,-0.0746251919277745,-0.0366633531341939,NA,0.00608177545685594,NA,NA
"preserved ~ pos * log_freq",1454.75760763141,2.83045529419314,0.242870318432272,0.0516922230051541,0.0109189665527085,3.25180277154419,NA,0.236108170366918,NA,-0.0446646931084625,-0.0272495164286496,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1454.8553627856,2.92821044838297,0.231284847004844,0.0492263853659062,0.00920788750770472,3.20129425475142,NA,0.128041815704464,NA,-0.0303396084937349,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1455.41792102232,3.49076868510087,0.174577878363887,0.0371569431719968,0.0103804650370001,3.12285374999057,-0.00832434762292098,0.417337578200287,-0.0367073631074482,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1455.58333507898,3.65618274176154,0.160720030150221,0.0342074556230186,0.00861389039888545,3.10950676620395,-0.00340789337768059,0.130927400919297,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1456.55769713425,4.63054479703874,0.0987392839037855,0.021015549021677,0.0110819807684063,3.10059564485907,0.0234975904497429,0.245120702417961,NA,-0.0521138227267383,-0.02832111692452,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1456.61595142661,4.68879908939289,0.0959047713734979,0.0204122548242949,0.0110344789669671,3.12062210251303,0.00944069508922661,0.417243827401852,-0.0366925024830826,-0.0344428262115777,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1456.77942617034,4.85227383311985,0.0883775839641838,0.0188101774165842,0.00926984257649409,3.10733935333284,0.0143625632019489,0.130955058853679,NA,-0.0344724370380761,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1457.64992201162,5.72276967439939,0.0571895072448028,0.0121721451231087,0.011822110255878,3.11609985154401,0.0163979889569762,0.415920602980772,-0.0259318744718047,-0.0461554787028699,NA,-0.020512396161174,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1458.37100821259,6.44385587537795,0.0398781016056228,0.00848760661461767,0.00633825228488828,2.68897973729761,NA,NA,NA,0.286135061676602,NA,NA,-0.0369678273596633,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1460.36555733218,8.43840499495946,0.0147103713864263,0.00313093754355923,0.00634270351278621,2.71613080103143,-0.00377386531035447,NA,NA,0.285603679067594,NA,NA,-0.0367705604623913,NA,NA,NA,NA
"preserved ~ 1",1462.12513345648,10.1979811192657,0.00610290397485305,0.00129893465485417,3.61446462670067e-16,3.05537050987708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",1462.68006379477,10.7529114575543,0.00462418227628512,0.000984205328115754,0.00118214223378303,3.22166268322577,NA,NA,NA,-0.0425116863259528,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1463.21928509378,11.2921327565668,0.0035313806049411,0.000751614750312098,0.000741081342109248,3.38952008145769,-0.0433406682319045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1463.92340214342,11.9962498062016,0.00248340443754357,0.000528564778216365,0.00670375029143244,3.13915399354647,-0.0677152453480992,NA,NA,0.141047864857756,NA,NA,-0.0387782456340364,NA,NA,0.0251938512528954,-0.000713628483721931
"preserved ~ stimlen + pos",1464.41801973154,12.4908673943246,0.0019392893311639,0.000412755981155416,0.00139646194222426,3.38737962691689,-0.0256331001652818,NA,NA,-0.0343569837032322,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1465.28217313687,13.3550207996543,0.00125890825257593,0.00026794450040354,0.0023252811309748,2.71998119058616,0.0553471059000436,NA,NA,0.181680073140069,NA,NA,NA,NA,NA,-0.025274687901863,NA
