"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",1254.65134954091,0,1,0.999714514022368,0.168510370005064,3.04165206085875,-1.40542777148094,NA,NA,NA,0.186375310601287
"preserved ~ CumErr + I(pos^2) + pos",1257.51958942682,0,1,0.998803206863182,0.16783667198131,2.43018243222923,-1.57098670559531,-0.0437963912049609,0.51341033826702,NA,NA
"preserved ~ CumErr + pos",1262.41962380366,0,1,0.986304461750269,0.162477461810813,3.00317941374812,-1.55452882706639,NA,0.138079011102935,NA,NA
"preserved ~ CumErr",1270.97341377783,13.4538243510108,0.00119822716686779,0.00119679313681813,0.154262405062949,3.47694863617038,-1.40821813116483,NA,NA,NA,NA
"preserved ~ CumErr",1270.97341377783,0,1,0.686930720541364,0.154262405062949,3.47694863617038,-1.40821813116483,NA,NA,NA,NA
"preserved ~ CumErr",1270.97341377783,16.3220642369254,0.000285567503149686,0.00028548597763187,0.154262405062949,3.47694863617038,-1.40821813116483,NA,NA,NA,NA
"preserved ~ CumErr",1270.97341377783,8.55378997417347,0.0138857105294114,0.0136955382497311,0.154262405062949,3.47694863617038,-1.40821813116483,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1272.54503165284,1.57161787500695,0.455750878650337,0.313069279458636,0.154596281608482,3.22639679861783,-1.41823894110343,NA,NA,0.0330886813439119,NA
"preserved ~ CumPres",1443.51547335336,188.864123812449,9.74263874679952e-42,9.73985736005217e-42,0.0168192407536182,2.6365038596842,NA,NA,NA,NA,0.177848399024622
"preserved ~ I(pos^2) + pos",1458.37100821259,200.851418785772,2.43034858784428e-44,2.42743996333428e-44,0.00633825228488828,2.68897973729761,NA,-0.0369678273596633,0.286135061676602,NA,NA
"preserved ~ pos",1462.68006379477,200.260439991111,3.26586316280395e-44,3.22113540893938e-44,0.00118214223378303,3.22166268322577,NA,NA,-0.0425116863259528,NA,NA
"preserved ~ stimlen",1463.21928509378,192.24587131595,1.79613700032413e-42,1.23382168382366e-42,0.000741081342109248,3.38952008145769,NA,NA,NA,-0.0433406682319045,NA
