"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2603.00219036165,0,1,0.522716867394874,0.0705878737108206,4.74746305075804,-0.175551698343097,0.505294068493928,-0.0499199400497062,-0.43410833248327,NA,NA,0.0287968905785323,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2603.81846107716,0.816270715513838,0.66488887486447,0.347548629834858,0.0721240246400783,4.72036101279977,-0.179782905392244,0.348971455913445,-0.0561742144251522,-0.408917319166838,NA,0.08440174174556,0.0268037935220923,NA,-0.00706363123584733,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2608.14735398951,5.14516362785434,0.0763381997513369,0.039903264636583,0.0671360219901403,4.76614009519454,-0.171648005425401,0.093835853537967,NA,-0.447161405902347,NA,NA,0.0301565964857012,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2608.29151229697,5.28932193532091,0.0710294309320783,0.0371282816296565,0.0670663172707362,4.1125913075659,-0.156608448808127,0.51957701020981,-0.0516096531805721,-0.167542862922448,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2609.01242842029,6.01023805864315,0.0495328581150425,0.0258916604270098,0.0676847065668575,4.11385633461264,-0.161118908308239,0.526385449458061,-0.061210079554416,-0.159661276369544,NA,0.0155291842844165,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2609.28265117688,6.28046081523144,0.0432728263645029,0.0226194362405753,0.0685206852195868,4.70898754517485,-0.17150792904554,-0.0823749218015576,NA,-0.412755022588437,0.0914007292222265,NA,0.0262124177538688,-0.00949349979312125,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2614.168169122,11.1659787603448,0.0037613047260124,0.00196609742369874,0.0632540310138847,4.10295455636117,-0.151995044585167,0.0946644959594831,NA,-0.167803794848374,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2615.53808035816,12.5358899965086,0.00189612111446114,0.000991134489152404,0.0645277960224095,2.68851486785797,0.0674230959885028,NA,NA,0.958552877665759,NA,NA,-0.142779932976392,NA,NA,-0.16062812237838,0.0193763576143794
"preserved ~ stimlen + pos * log_freq",2616.14528030907,13.1430899474185,0.00139963334413377,0.000731611957147016,0.0632651196726784,4.10151311320319,-0.151282101155145,0.103355382675802,NA,-0.168899048456645,-0.0018697177885976,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2617.09409285894,14.0919024972873,0.000870927999555839,0.000455248755654312,0.0618360397925251,4.97968937413635,-0.200694899163296,NA,NA,-0.449422114631656,NA,NA,0.0304380120765343,NA,NA,NA,NA
"preserved ~ stimlen * pos",2623.29633654061,20.2941461789583,3.91906214122889e-05,2.04855988558901e-05,0.0588269265920731,5.09424037933244,-0.272645990796486,NA,NA,-0.383720432038942,NA,NA,NA,NA,NA,0.0246682368045132,NA
"preserved ~ stimlen + pos",2623.3068154589,20.3046250972479,3.89858207434217e-05,2.03785460918195e-05,0.0578505434651309,4.31237325275869,-0.18124805744721,NA,NA,-0.16726670432891,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2626.46152958112,23.4593392194661,8.05135941201591e-06,4.20858137011919e-06,0.0592322087205054,3.42511096136282,NA,-0.0225627368893131,NA,-0.381894724152472,0.08690642549053,NA,0.0171839371514722,-0.00986944942271025,NA,NA,NA
"preserved ~ pos + log_freq",2628.10608130214,25.1038909404929,3.53801235464767e-06,1.84937873482579e-06,0.0555178750625066,3.09528936999004,NA,0.121562583620492,NA,-0.213018215805216,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2629.67479726616,26.6726069045085,1.61479353389092e-06,8.44079817524958e-07,0.0557276100234353,3.11031576769317,NA,0.158946288373118,NA,-0.217013240330144,-0.00815717972606432,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2643.82889570222,40.826705340568,1.36330672851897e-09,7.1262342242979e-10,0.0478568671847048,3.48470115793556,NA,NA,NA,-0.418388946688927,NA,NA,0.0203483458571295,NA,NA,NA,NA
"preserved ~ pos",2645.5926257267,42.5904353650471,5.64422696914171e-10,2.95033264017542e-10,0.0460186506482488,3.1250463686331,NA,NA,NA,-0.225840316477266,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2651.25645078377,48.2542604221157,3.32445520271836e-11,1.73774880935953e-11,0.0452055005088926,4.14400818165161,-0.249807902475496,0.518860129377056,-0.0516146516611272,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2657.2295381925,54.2273478308539,1.677571480868e-12,8.76894909310299e-13,0.0413043248809686,4.13374158753962,-0.245265001161927,0.0933892158416338,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2666.22115548653,63.2189651248787,1.87144103205067e-14,9.78233793787758e-15,0.0359138618009749,4.34078816667631,-0.273893055707514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2736.71648854602,133.714298184371,9.21104859395275e-30,4.81477046645294e-30,0,2.16986198883903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
