"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",1839.06485094524,0,1,0.999997313464546,0.404876778232046,2.60080865141687,-1.82847918826494,NA,NA,NA,0.181195029463316
"preserved ~ CumErr + I(pos^2) + pos",1847.18423091372,0,1,0.999844322056457,0.402415692856446,3.2772129061589,-1.94751229941122,0.0466725278409501,-0.285111799241803,NA,NA
"preserved ~ CumErr + pos",1855.76911573834,0,1,0.988739424000005,0.398150071854488,2.63195152585489,-1.94728079012505,NA,0.111964362429692,NA,NA
"preserved ~ CumErr + stimlen",1859.55317204508,0,1,0.929765639280043,0.396622478261467,3.83781809252184,-1.77557067112387,NA,NA,-0.107208553144496,NA
"preserved ~ CumErr",1864.71936183186,17.5351309181349,0.000155702182938159,0.000155677943542514,0.393725712683943,3.0140663182357,-1.81786203645956,NA,NA,NA,NA
"preserved ~ CumErr",1864.71936183186,5.16618978677889,0.0755398540801562,0.0702343607199575,0.393725712683943,3.0140663182357,-1.81786203645956,NA,NA,NA,NA
"preserved ~ CumErr",1864.71936183186,25.654510886613,2.68654267128379e-06,2.68653545379165e-06,0.393725712683943,3.0140663182357,-1.81786203645956,NA,NA,NA,NA
"preserved ~ CumErr",1864.71936183186,8.95024609351776,0.0113888206808213,0.0112605759999946,0.393725712683943,3.0140663182357,-1.81786203645956,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2643.82889570222,796.644664788498,1.02520100286461e-173,1.02504140168077e-173,0.0478568671847048,3.48470115793556,NA,0.0203483458571295,-0.418388946688927,NA,NA
"preserved ~ pos",2645.5926257267,789.82350998836,3.10458794854256e-172,3.06962849999933e-172,0.0460186506482488,3.1250463686331,NA,NA,-0.225840316477266,NA,NA
"preserved ~ stimlen",2666.22115548653,806.667983441453,6.82767800794464e-176,6.34814040785494e-176,0.0359138618009749,4.34078816667631,NA,NA,NA,-0.273893055707514,NA
"preserved ~ CumPres",2682.48106710047,843.416216155231,7.15312291937067e-184,7.15310370225234e-184,0.0279134338848634,1.71431294409615,NA,NA,NA,NA,0.205535481900351
