"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3225.86623671639,0,1,0.559831003868446,0.186710041300697,4.91589808959705,-0.096223490734389,0.331394246731098,-0.0294742757431175,-0.78231712473129,NA,NA,0.0409544081606684,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3227.27388927431,1.40765255792303,0.494688860365432,0.276942161300917,0.185476786353401,4.95457544003911,-0.0969314200804757,0.0892726906856662,NA,-0.789742723275553,NA,NA,0.0416393876678689,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3228.93055777434,3.06432105794738,0.216068340751011,0.120961756106828,0.187048495950556,4.93608235681145,-0.100279378487915,0.36192693375848,-0.0376898047052498,-0.78525087105787,NA,-0.000607710743993017,0.0418751380360529,NA,0.00134262807967633,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3231.26403232518,5.39779560879424,0.0672796271971923,0.037665221233699,0.185480355096067,4.95146207326513,-0.0969567065527064,0.0779377586085129,NA,-0.788111611290258,0.00520912978435004,NA,0.0414721564303104,-0.000507467511640923,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3237.02378465756,11.1575479411754,0.00377719363159959,0.0021145901025839,0.182668323598657,4.23952498669858,NA,0.113092788304903,NA,-0.772729138253867,0.00219398890378615,NA,0.0363985977131635,-0.000698665009004547,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3238.86185631157,12.9956195951845,0.00150673563774081,0.000843517324640801,0.182001471517813,6.18699018751118,-0.276734623499676,NA,NA,-0.981091776832905,NA,NA,0.0247209802971232,NA,NA,0.037262742368311,0.000368335647959706
"preserved ~ stimlen + I(pos^2) + pos",3238.91722868887,13.0509919724805,0.00146559205325135,0.000820483870433319,0.180529153393755,5.15903667087189,-0.123279467869817,NA,NA,-0.797070743878794,NA,NA,0.04248922331717,NA,NA,NA,NA
"preserved ~ stimlen * pos",3240.43506400937,14.568827292982,0.000686150445145211,0.000384128292510424,0.179977732924602,6.45469063455243,-0.369503146924487,NA,NA,-0.968280643971637,NA,NA,NA,NA,NA,0.0667215333239831,NA
"preserved ~ stimlen * log_freq + pos",3241.72687355812,15.8606368417263,0.000359671867668093,0.000201355462739867,0.180235038996217,3.91614648926321,-0.0696430428921329,0.348398438783541,-0.0313325014898081,-0.386351136564971,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3243.19800935502,17.3317726386299,0.000172366709398999,9.64962279563421e-05,0.180427162440532,3.91786597174342,-0.072480555237575,0.350226664606318,-0.0372268449240387,-0.382128427169238,NA,0.00931798761759516,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3243.70923786427,17.8430011478795,0.00013348778613435,7.47306013157696e-05,0.178787568340564,3.93956706622104,-0.0698883404512785,0.092284069796792,NA,-0.38724130420008,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3245.6386694886,19.7724327722121,5.0871058769525e-05,2.84791958987939e-05,0.178813229752991,3.93572945354893,-0.0686379566967915,0.107269680626556,NA,-0.388682904752978,-0.00301412786978847,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",3246.03213458238,20.1658978659912,4.17860112725538e-05,2.3393104638372e-05,0.177214774437997,3.49465821038088,NA,0.1030610585176,NA,-0.410917428654069,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",3247.72355991279,21.8573231964042,1.7936701193509e-05,1.00415214352505e-05,0.177327096267067,3.5033923525389,NA,0.13387214798066,NA,-0.413057292167114,-0.00626748433079835,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3250.51089385219,24.6446571358038,4.45123679962647e-06,2.49194036599106e-06,0.175583569817251,4.25998732310211,NA,NA,NA,-0.780852669303263,NA,NA,0.0363469939912764,NA,NA,NA,NA
"preserved ~ stimlen + pos",3256.19912776676,30.332891050376,2.58997992773024e-07,1.44995106294034e-07,0.173509361667201,4.12962967443695,-0.0968195586837153,NA,NA,-0.38598648695553,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3262.99437036366,37.1281336472753,8.66419497347162e-09,4.85048496971056e-09,0.170296667053218,3.52026511267357,NA,NA,NA,-0.420739757301796,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3548.1004326699,322.234195953508,1.06594159235343e-70,5.96747151712352e-71,0.0640003915611671,3.96933603606836,-0.291197782790244,0.356514065923816,-0.0328595587112053,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3550.85737291752,324.991136201128,2.68578621341653e-71,1.50358639203301e-71,0.0621398796240167,3.99060021726032,-0.291650761387001,0.0855371663275483,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",3562.55739005903,336.691153342646,7.7347271620587e-74,4.33014007178386e-74,0.0567698388737534,4.16654595506149,-0.315891569708395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3702.72642870358,476.860191987186,2.82569309476875e-104,1.58191060186853e-104,-3.79795705873381e-16,1.65985415067512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
