"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",2679.51069354219,0,1,1,0.370806362513623,4.18124114477304,-1.53628418343052,0.0607489762428064,-0.755596816042563,NA,NA
"preserved ~ CumErr + pos",2707.49273325655,0,1,0.999999999976844,0.361236449093162,3.09535155226252,-1.5445038918235,NA,-0.185095056689192,NA,NA
"preserved ~ CumErr + CumPres",2731.90775225493,0,1,0.999995362086462,0.353392983416227,2.7521205201113,-1.76395809580298,NA,NA,NA,-0.133096326205405
"preserved ~ CumErr + stimlen",2741.23993741172,0,1,0.999507315501379,0.350382934320209,3.40647502251737,-1.72237239759929,NA,NA,-0.131553768324189,NA
"preserved ~ CumErr",2756.47023490194,76.9595413597508,1.94288872879659e-17,1.94288872879659e-17,0.344807834653002,2.39874386256692,-1.79543189455018,NA,NA,NA,NA
"preserved ~ CumErr",2756.47023490194,15.2302974902136,0.000492927356288248,0.000492684498620858,0.344807834653002,2.39874386256692,-1.79543189455018,NA,NA,NA,NA
"preserved ~ CumErr",2756.47023490194,24.5624826470112,4.63793504816519e-06,4.63791353782344e-06,0.344807834653002,2.39874386256692,-1.79543189455018,NA,NA,NA,NA
"preserved ~ CumErr",2756.47023490194,48.9775016453837,2.31563789978158e-11,2.31563789972796e-11,0.344807834653002,2.39874386256692,-1.79543189455018,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3250.51089385219,571.000200310005,1.02066193863487e-124,1.02066193863487e-124,0.175583569817251,4.25998732310211,NA,0.0363469939912764,-0.780852669303263,NA,NA
"preserved ~ pos",3262.99437036366,555.50163710711,2.36783893815018e-121,2.36783893809535e-121,0.170296667053218,3.52026511267357,NA,NA,-0.420739757301796,NA,NA
"preserved ~ stimlen",3562.55739005903,821.31745264731,4.49967567645118e-179,4.49745875599657e-179,0.0567698388737534,4.16654595506149,NA,NA,NA,-0.315891569708395,NA
"preserved ~ CumPres",3668.88870148423,936.980949229306,3.4448637586864e-204,3.44484778170614e-204,0.0144915766471908,1.99518862261173,NA,NA,NA,NA,-0.128360313372304
