"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + pos * log_freq",2841.57792775912,0,1,0.171859480368707,0.0365685371335038,2.8488010255325,-0.09963702759083,-0.042520006367468,NA,-0.126345873486526,0.0193749541394532,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2842.22032992083,0.642402161715836,0.7252773969252,0.124645796558733,0.0352133836711762,2.82543529847954,-0.0947361360700591,0.038272095162206,NA,-0.131637642092246,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",2842.34695444992,0.769026690806186,0.680781861224217,0.116998816914435,0.0341219335447409,2.8919988012625,-0.104048535577971,NA,NA,-0.131258589021141,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2842.59494212381,1.01701436469375,0.601392678649578,0.103355033250261,0.0360470946906498,3.07310995302545,-0.103207264206534,0.0375255458541846,NA,-0.243855516018279,NA,NA,0.0129770103266936,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2842.63901554026,1.06108778114231,0.588284920029096,0.101102340664947,0.0349985584579841,3.14443175808449,-0.112538522178994,NA,NA,-0.246212938740638,NA,NA,0.0132897207669358,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2842.86843615729,1.29050839817137,0.524529190317766,0.0901453140862299,0.0369322087670016,2.82361940145109,-0.0978027037755897,0.0538094127711971,-0.0148613611166007,-0.125396470084629,NA,0.0240056910830315,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2843.26990142663,1.6919736675186,0.429133665599572,0.073750688778661,0.0346748014190495,3.33583026003521,-0.158458851338592,NA,NA,-0.266008005421674,NA,NA,NA,NA,NA,0.0159941847301532,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2843.3615295266,1.78360176748401,0.409916874999811,0.0704481011318317,0.0377043525172835,3.12693359330937,-0.109208373320052,-0.0834503176238362,NA,-0.251045571109981,0.0398715447010504,NA,0.0143781844987258,-0.00208503930675125,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2844.21179654127,2.63386878215124,0.267955490878457,0.0460506914243135,0.0352177618075859,2.82270904351778,-0.0945043102990441,0.0497927966903503,-0.00147979147995229,-0.131627349810115,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2844.59225767011,3.01432991099318,0.22153715619717,0.0380732605464068,0.0360484712787663,3.07125455331851,-0.103066370477222,0.0440262470249653,-0.000834280033048936,-0.243703553541065,NA,NA,0.0129602084742233,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2844.75186651089,3.17393875177459,0.204544571053107,0.035152923693427,0.0380166425196717,3.10331894900885,-0.107488685646169,0.0180603351908548,-0.013983581823495,-0.250610485256715,NA,0.0378479669433474,0.014464821560895,NA,-0.00136610167027015,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2846.55026962777,4.97234186865671,0.0832280428608868,0.0143035281981765,0.03504409582837,3.24338756182029,-0.128747585256406,NA,NA,-0.262065619057564,NA,NA,0.00919950234493322,NA,NA,0.0043393453579455,0.000197006980966032
"preserved ~ pos + log_freq",2848.47100085686,6.89307309774722,0.031855776460437,0.0054747171892324,0.0309748279769413,2.22994008925794,NA,0.0531612217336906,NA,-0.162100049401205,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2848.6378478162,7.05992005708276,0.0293060872506834,0.00503652892654245,0.0319175042674487,2.22300873244748,NA,-0.0137662023749946,NA,-0.158831688896866,0.016182680390973,NA,NA,NA,NA,NA,NA
"preserved ~ pos",2850.74021080691,9.16228304779588,0.0102431967661279,0.00176039047354117,0.0287773457675378,2.24282859623322,NA,NA,NA,-0.166156943892289,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2851.78427063476,10.2063428756483,0.00607744174105954,0.00104446597958958,0.0323562616046152,2.3393992518445,NA,-0.0560582726723213,NA,-0.226361189385755,0.0398786777202379,NA,0.00753693205430772,-0.00257016148559684,NA,NA,NA
"preserved ~ I(pos^2) + pos",2852.32347533662,10.7455475775059,0.00464123962087714,0.000797641029510601,0.0289919803170919,2.33929509074773,NA,NA,NA,-0.223211196514726,NA,NA,0.00644246431444136,NA,NA,NA,NA
"preserved ~ stimlen",2869.94654107726,28.3686133181486,6.91566405697892e-07,1.18852243123694e-07,0.0188549765275439,2.9018484540046,-0.172823108054162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2869.95744469975,28.3795169406326,6.87806374994601e-07,1.18206046200856e-07,0.0198853487557376,2.83791044623619,-0.164066582294,0.0368284542098731,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2871.94636439248,30.36843663336,2.54435539312993e-07,4.37271595736627e-08,0.0198910866749419,2.83480287824419,-0.163795453255028,0.0499106170804814,-0.00167812808988272,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2904.12882101044,62.5508932513262,2.61364206609673e-14,4.49179167349178e-15,0,1.597117425724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
