"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3121.86338963962,0,1,0.599409270399974,0.0468505962819272,3.75864765281916,-0.187816434022288,0.417494552427958,-0.0379659338563113,-0.275665587903259,NA,NA,0.0267195957044263,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3123.97811749989,2.11472786027662,0.347370296845694,0.2082169761909,0.0476947444689264,3.74587795274964,-0.191005275048709,0.338013014886839,-0.0423631962436431,-0.260844071199801,NA,0.0486670068446819,0.025703052521538,NA,-0.00398213324362453,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3125.60355875907,3.74016911945591,0.15411062971122,0.0923753401160829,0.044277817214853,3.78540842750821,-0.186340971408655,0.110347982802626,NA,-0.284582466818747,NA,NA,0.027696611972832,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3127.64267679019,5.77928715057578,0.0555960248776441,0.0333247727090474,0.0433629417094345,3.24921709167859,-0.171950462852686,0.429595867124923,-0.039444844823781,-0.0422355941413459,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3128.14034538589,6.27695574627842,0.0433487299770242,0.0259836306082936,0.0449340053315253,3.75082822716887,-0.186443270423102,0.0100146880390742,NA,-0.26269727723158,0.0554786277605226,NA,0.0251369671731173,-0.00595076776862305,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3128.78127995258,6.91789031296639,0.0314629329910845,0.0188591737088292,0.0437494775765,3.24965082015971,-0.174976448590854,0.430381733360194,-0.0451450393560255,-0.0363861645976064,NA,0.0109445714525337,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3129.24704652695,7.38365688733029,0.0249263838611823,0.014941105563941,0.0417446025910209,3.25082658091767,-0.19353072846311,0.430175166763635,-0.0395605649844591,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3131.98636424942,10.1229746098015,0.00633612874609878,0.00379793430885937,0.0405136454822641,3.25872121236489,-0.169976852558756,0.110615847744631,NA,-0.0425406676676325,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3133.6361682735,11.7727786338819,0.00277698543110901,0.00166455081117241,0.03887217540657,3.26030166997818,-0.191699962112239,0.110218142923423,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3133.98301773666,12.1196280970448,0.00233483501318536,0.00139952175175775,0.0405151498305406,3.2583632807266,-0.16977224037924,0.113228008831405,NA,-0.0429046321134315,-0.000631287155278408,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3143.16719363262,21.3038039930079,2.36558055226975e-05,1.41795091290838e-05,0.0372826329498774,2.44802034473385,-0.0183880615476699,NA,NA,0.546129232130785,NA,NA,-0.05409433537147,NA,NA,-0.104493038992876,0.0101956684701788
"preserved ~ stimlen + I(pos^2) + pos",3143.39997974499,21.5365901053715,2.10566306394995e-05,1.26215396087041e-05,0.0353752468543462,4.0294856636091,-0.220397473954645,NA,NA,-0.284866325340057,NA,NA,0.0278038345602089,NA,NA,NA,NA
"preserved ~ stimlen + pos",3149.91653768065,28.0531480410382,8.09722678180813e-07,4.85355279754674e-07,0.03153109418617,3.50133597824192,-0.204128892834457,NA,NA,-0.041731112713726,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",3151.44767602552,29.5842863859039,3.76577038558734e-07,2.25723767931874e-07,0.0299347170748423,3.50221378205929,-0.225341665521351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",3151.71485798113,29.8514683415106,3.29485275714905e-07,1.97496528723805e-07,0.0316222261868509,3.69034922331589,-0.2265389792372,NA,NA,-0.0999563642948807,NA,NA,NA,NA,NA,0.00671283876099441,NA
"preserved ~ pos + log_freq",3158.65593496716,36.7925453275452,1.02470839576652e-08,6.14219711879136e-09,0.0275774448158341,2.12500324473492,NA,0.143977526740251,NA,-0.0896825942902411,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3158.97725870808,37.1138690684588,8.72621141622504e-09,5.23057201835537e-09,0.0301474711536275,2.35935551426422,NA,0.0691692891120418,NA,-0.223447055395098,0.05353664140872,NA,0.0144741008123023,-0.0066900823896762,NA,NA,NA
"preserved ~ pos * log_freq",3160.20288019695,38.3394905573341,4.72808642000386e-09,2.83405883140254e-09,0.0277826261965508,2.13764469276428,NA,0.174116829792959,NA,-0.093478084864251,-0.00739609326461511,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3191.95188664696,70.088497007348,6.03220722402269e-16,3.61576093105289e-16,0.0124314781569811,2.3885377920499,NA,NA,NA,-0.242275343822053,NA,NA,0.0155803580576003,NA,NA,NA,NA
"preserved ~ pos",3192.71333653679,70.8499468971745,4.1222042783941e-16,2.47088745895186e-16,0.0111693907429745,2.15461278037099,NA,NA,NA,-0.10373952886903,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3215.06543745177,93.202047812149,5.77341088319748e-21,3.46063600521667e-21,1.9529451581076e-16,1.74582613592139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
