"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + stimlen",3024.12868600397,0,1,0.999863060431483,0.0874467839856355,3.07833805660858,-0.557073646570647,NA,NA,-0.132806834475567,NA
"preserved ~ CumErr + I(pos^2) + pos",3029.33543712481,0,1,0.998153210997467,0.086044041240284,2.3797670802912,-0.721991988313218,0.034084903580033,-0.234730773788684,NA,NA
"preserved ~ CumErr + CumPres",3029.94552987405,0,1,0.997496133039788,0.0849014283741637,1.87037285096754,-0.640144462595859,NA,NA,NA,0.0980715332888143
"preserved ~ CumErr + pos",3039.15707371572,0,1,0.799254267157119,0.080862676603401,1.89918429526211,-0.694723412301687,NA,0.0563603445335349,NA,NA
"preserved ~ CumErr",3041.92035377642,12.5849166516123,0.00185020594252061,0.00184678900253354,0.0787704219085745,2.0820867760321,-0.625573256281265,NA,NA,NA,NA
"preserved ~ CumErr",3041.92035377642,17.7916677724484,0.000136958323530379,0.00013693956851665,0.0787704219085745,2.0820867760321,-0.625573256281265,NA,NA,NA,NA
"preserved ~ CumErr",3041.92035377642,11.9748239023679,0.00251015204698781,0.00250386696021225,0.0787704219085745,2.0820867760321,-0.625573256281265,NA,NA,NA,NA
"preserved ~ CumErr",3041.92035377642,2.76328006070344,0.251166294747374,0.200745732842881,0.0787704219085745,2.0820867760321,-0.625573256281265,NA,NA,NA,NA
"preserved ~ stimlen",3151.44767602552,127.318990021548,2.25440841094993e-28,2.25409969323488e-28,0.0299347170748423,3.50221378205929,NA,NA,NA,-0.225341665521351,NA
"preserved ~ I(pos^2) + pos",3191.95188664696,162.616449522156,4.87850385958664e-36,4.86949429230994e-36,0.0124314781569811,2.3885377920499,NA,0.0155803580576003,-0.242275343822053,NA,NA
"preserved ~ pos",3192.71333653679,153.556262821074,4.52565243487339e-34,3.61714702024256e-34,0.0111693907429745,2.15461278037099,NA,NA,-0.10373952886903,NA,NA
"preserved ~ CumPres",3208.9705230798,179.024993205747,1.33418687500665e-39,1.33084624857157e-39,0.00372072924021661,1.58839128485202,NA,NA,NA,NA,0.0707473754880065
