"Description","ParameterValue"
"min preserved",0.61917701863354
"max preserved",1.01513975155279
"mean change in probability for each additional length: ",-0.0255801337218353
"mean change in probability for each additional position (excluding  U-shape): ",-0.0170221079098953
"U-shape",1
"Average upward change after U minimum",0.0149414997101922
"Proportion of average downward change",0.877770237933128
"row with biggest return upward",7
"downward distance for row with the largest upward value",0.135288502783859
"return upward value",0.114671637180794
"Return upward as a proportion of the downward distance:",0.84760814719043
