"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos + log_freq",2083.10792798985,0,1,0.260185193466789,0.0894993714445725,3.88659863617184,NA,0.193489304197115,NA,-0.28011504631063,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2083.40924341732,0.301315427467671,0.860142063093027,0.223796229094782,0.0915327226037088,4.35187060760931,-0.000747017947829533,0.194499330161643,NA,-0.511133971593124,NA,NA,0.0234694410408567,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2084.99449437026,1.88656638040447,0.389347432929264,0.101302437162498,0.0895617569772839,3.78919668168781,0.0153873317761998,0.195950773841545,NA,-0.285342891348285,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2085.05444777605,1.94651978619277,0.377849279976915,0.0983107880120805,0.0895287843680124,3.87660642370699,NA,0.176860139190363,NA,-0.277836956515965,0.00337091830617022,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2085.23163848258,2.12371049272497,0.345813645319522,0.0899755902109155,0.091630317862325,4.34649962579816,0.00154191000141089,0.123262247108747,0.00875922988513361,-0.514405412256447,NA,NA,0.0237835209815484,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2085.24291584426,2.1349878544097,0.343869199748548,0.0894696742638459,0.0916241209837317,4.34953761336549,NA,0.188036963737239,NA,-0.517829934203335,-0.00516497555483154,NA,0.0245672104540745,0.0011077578626829,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2086.89778927325,3.78986128339375,0.150328761232615,0.0391133178249307,0.0896149409882167,3.78011481421342,0.0171603897211003,0.144269372195017,0.00636479077649863,-0.28550718377835,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2086.95946125895,3.85153326909904,0.145763966317804,0.0379256257768844,0.0895810239497175,3.78844896228643,0.0142099201543909,0.182153947387192,NA,-0.283074135409504,0.00275828567180794,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2087.23730248445,4.12937449459969,0.126857959533764,0.0330065627440945,0.0916272055111784,4.37496525457159,-0.00352297165607351,0.186799108695495,NA,-0.518341461422109,-0.0050776049245196,NA,0.0247523968785624,0.00111638526056652,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2088.89659085015,5.78866286029961,0.0553360087173048,0.0143976101337919,0.0896156000665848,3.78059626823306,0.0167822290238566,0.144686375478305,0.00594930376926089,-0.285003908035644,NA,0.00059109988083886,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2089.17655388197,6.0686258921146,0.0481077041115239,0.0125169123014999,0.0916605864673893,4.36495199887187,-0.00103091720779755,0.143658137989925,0.00594711326939949,-0.518777394071491,NA,-0.00442801168612024,0.0245921566562422,NA,0.00083108571971387,NA,NA
"preserved ~ I(pos^2) + pos",2116.06670070185,32.9587727120006,6.96776412605653e-08,1.81290905716897e-08,0.071304581115459,4.33269354738919,NA,NA,NA,-0.5141547687025,NA,NA,0.0218799400196317,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2116.28126132508,33.1733333352258,6.25896024544235e-08,1.62848878236136e-08,0.072293724553163,4.76423122987009,-0.0599037971290714,NA,NA,-0.520995281844858,NA,NA,0.0248159018061153,NA,NA,NA,NA
"preserved ~ pos",2117.32542667799,34.2174986881369,3.71333873272039e-08,9.66155756580577e-09,0.0694981930055188,3.89986155111134,NA,NA,NA,-0.297781588241778,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2118.00915054945,34.9012225595984,2.63812770829665e-08,6.86401768173261e-09,0.0735519061565528,3.03479481119032,0.172878062770675,NA,NA,0.213336705281067,NA,NA,-0.0346407527815474,NA,NA,-0.0979311407057471,0.00802337516191451
"preserved ~ stimlen + pos",2118.3518931289,35.2439651390441,2.2226455474548e-08,5.78299461772624e-09,0.0700379856547188,4.17076435917021,-0.0434577902760173,NA,NA,-0.281677779610991,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2120.20870777445,37.1007797845955,8.78350863574264e-09,2.28533889370791e-09,0.0701173671919474,4.41172299686656,-0.0720302517869757,NA,NA,-0.344848140456,NA,NA,NA,NA,NA,0.00724832268506357,NA
"preserved ~ stimlen + log_freq",2173.96985569576,90.861927705902,1.86030044998454e-20,4.84022632485582e-21,0.0390072528962761,3.91391912306129,-0.160175466721235,0.189523505897043,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2175.92083375932,92.8129057694664,7.01348039704361e-21,1.82480375398033e-21,0.0390347766833839,3.90723765762615,-0.158961112107044,0.153034179406949,0.00448062062733461,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2206.01046948714,122.902541497282,2.05140877038404e-27,5.3374618780184e-28,0.0198205947114895,4.28600799639444,-0.215439197411022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2238.90129486011,155.793366870253,1.47876861811288e-34,3.84753698996317e-35,-5.56958007596538e-16,2.58271444345965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
