"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1440.47008119672,0,1,0.949228399549779,0.419278976299943,4.30439940561798,-2.41874016848483,0.0484763104033804,-0.474947021377622,NA,NA
"preserved ~ CumErr",1446.32670577986,5.85662458313595,0.0534872328665067,0.0507716004502205,0.414591858654045,3.38994799794113,-2.45912471171613,NA,NA,NA,NA
"preserved ~ CumErr",1446.32670577986,0,1,0.574225562074565,0.414591858654045,3.38994799794113,-2.45912471171613,NA,NA,NA,NA
"preserved ~ CumErr",1446.32670577986,0,1,0.730950125352512,0.414591858654045,3.38994799794113,-2.45912471171613,NA,NA,NA,NA
"preserved ~ CumErr",1446.32670577986,0,1,0.615919494945316,0.414591858654045,3.38994799794113,-2.45912471171613,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1446.92493091348,0.598225133625419,0.741475939153935,0.425774437925435,0.41525908512708,3.80186186918472,-2.43908015850261,NA,NA,-0.0535970400221569,NA
"preserved ~ CumErr + pos",1447.27123395141,0.944528171549109,0.623588810236937,0.384080505054684,0.415094269196476,3.53306957514085,-2.41550521534234,NA,-0.0378379484523143,NA,NA
"preserved ~ CumErr + CumPres",1448.3256026987,1.9988969188455,0.368082397574985,0.269049874647488,0.414592383789837,3.38661982344942,-2.45919160074644,NA,NA,NA,0.00123453585942087
"preserved ~ I(pos^2) + pos",2116.06670070185,675.596619505134,1.97723403800291e-147,1.87684670142885e-147,0.071304581115459,4.33269354738919,NA,0.0218799400196317,-0.5141547687025,NA,NA
"preserved ~ pos",2117.32542667799,670.998720898134,1.97005828393028e-146,1.21339730325117e-146,0.0694981930055188,3.89986155111134,NA,NA,-0.297781588241778,NA,NA
"preserved ~ stimlen",2206.01046948714,759.683763707279,1.08834532282531e-165,6.24955704730589e-166,0.0198205947114895,4.28600799639444,NA,NA,NA,-0.215439197411022,NA
"preserved ~ CumPres",2238.77050971877,792.443803938912,8.37556986110908e-173,6.1221238398764e-173,0.00121495854590912,2.47332676033027,NA,NA,NA,NA,0.0422457117895366
