"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + pos + log_freq",1907.47327878275,0,1,0.2682369307983,0.0180660363741743,3.32006195435233,-0.128184340013153,0.0844575113783469,NA,0.131882855100488,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1908.73426414283,1.26098536007635,0.5323294682864,0.142790422746635,0.0185369460205832,3.32151793717677,-0.131115355116964,0.0350356929415313,NA,0.139939735708478,0.014153841592245,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1908.97582199985,1.50254321709508,0.471766269138744,0.126545136087942,0.0183830309938617,3.30602163144685,-0.127858874081285,0.202633768245154,-0.0149081446525146,0.131822832176544,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1909.42728300581,1.95400422305693,0.376437927877827,0.10097455441002,0.0180953477970284,3.27319218086662,-0.126845105675557,0.084490709516456,NA,0.156735119363854,NA,NA,-0.0030434384610824,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1909.6893568678,2.21607808504041,0.330205846234798,0.0885734027256775,0.0192026386613857,3.29835716124966,-0.131173811181082,0.19541307419671,-0.0227029154702444,0.142322211745969,NA,0.0197596655742384,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1910.10848935186,2.63521056910031,0.2677757815778,0.0718273537925451,0.0189356355858522,0.946608898598305,0.156116805887437,NA,NA,1.91087503658233,NA,NA,-0.226841265924391,NA,NA,-0.209708520710199,0.0261338779375044
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1910.91759183765,3.44431305489343,0.178680402933057,0.0479286828765668,0.0184201346710619,3.25297457806629,-0.126333232210465,0.204078577581794,-0.0150851456854598,0.159821989432042,NA,NA,-0.00343067072071775,NA,NA,NA,NA
"preserved ~ stimlen + pos",1911.14383113968,3.67055235692305,0.159569426043424,0.0428024130911343,0.0144500393047731,3.51582580453245,-0.154878342023494,NA,NA,0.13148841438487,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1911.56132424052,4.0880454577632,0.129506691303307,0.034738477393042,0.0192841951355418,3.25728135221985,-0.129037816076857,-0.0604112760331564,NA,0.178659731998471,0.0794122444046803,NA,-0.00529443657927966,-0.00796164542079615,NA,NA,NA
"preserved ~ stimlen * pos",1912.07742748806,4.60414870530826,0.100051087078997,0.0268373965211036,0.0151304213119134,2.97184648795764,-0.0898874421227193,NA,NA,0.326748075263225,NA,NA,NA,NA,NA,-0.022680505820111,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1912.76611306331,5.29283428055032,0.0709048004589807,0.0190192860539829,0.0197906892894688,3.24047574389601,-0.129364331628193,0.0898935519911908,-0.0199601163335599,0.178975032333004,NA,0.0778561211352328,-0.00499667561566179,NA,-0.00716017892345865,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1913.1022742661,5.62899548334963,0.0599348139409673,0.0160767305394922,0.0144765563377935,3.47137121797367,-0.153614471821884,NA,NA,0.155073037173536,NA,NA,-0.00288662368395708,NA,NA,NA,NA
"preserved ~ pos + log_freq",1914.42105508743,6.94777630467547,0.0309962778104176,0.00831434642603787,0.0123580815241255,2.44205201683759,NA,0.11315735371927,NA,0.101244116437187,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1916.03865512158,8.56537633882317,0.0138055006361989,0.00370314511878796,0.0126022605243633,2.42758307997941,NA,0.077736357958611,NA,0.106869774492855,0.0102943673270612,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1918.31957220465,10.8462934218994,0.00441323759236443,0.00118379330665951,0.0136997060935093,2.29338291545828,NA,-0.0233942183491579,NA,0.203546577683905,0.0801808677039696,NA,-0.0123951403503059,-0.00866531024358352,NA,NA,NA
"preserved ~ stimlen + log_freq",1922.04318103332,14.569902250561,0.000685781752925531,0.000183951992602223,0.00748656774006631,3.34836406401604,-0.0695874268961278,0.0837709621231917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",1923.37440168201,15.9011228992545,0.000352464218161072,9.45439200957484e-05,0.00535482484052634,2.46532165690923,NA,NA,NA,0.0901687324461785,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1923.52859626946,16.0553174867016,0.000326311293769377,8.75287399255201e-05,0.00781572046655513,3.33424515076184,-0.0693039564317171,0.203857017354529,-0.0151430332560712,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1924.74914240393,17.2758636211734,0.000177253116430756,4.75458319258198e-05,0.00575506979581284,2.32851189357743,NA,NA,NA,0.181835227442571,NA,NA,-0.0111058358829167,NA,NA,NA,NA
"preserved ~ stimlen",1925.64236815397,18.1690893712143,0.000113405044264782,3.04194210106304e-05,0.00390255955007367,3.54296624093473,-0.0963027995199484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1929.73107982065,22.257801037895,1.46818206652838e-05,3.93820651378679e-06,-6.23081107581119e-16,2.79490724470168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
