"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",1649.61861939926,0,1,1,0.176437685390512,2.44484784591542,-1.15403321299637,NA,NA,NA,0.379950372704337
"preserved ~ CumErr + pos",1665.78334690135,0,1,1,0.166703622001566,2.16901427592207,-1.52144338992841,NA,0.337146907085989,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",1667.77846339254,0,1,1,0.166706568183639,2.18164893232902,-1.52162987557734,0.00113419051209982,0.328231460567603,NA,NA
"preserved ~ CumErr",1740.42538625325,72.6469228607111,1.67849919450687e-16,1.67849919450687e-16,0.120058688336207,3.2058696572773,-1.11657320767192,NA,NA,NA,NA
"preserved ~ CumErr",1740.42538625325,0,1,0.710339664644791,0.120058688336207,3.2058696572773,-1.11657320767192,NA,NA,NA,NA
"preserved ~ CumErr",1740.42538625325,90.8067668539929,1.91232242528664e-20,1.91232242528664e-20,0.120058688336207,3.2058696572773,-1.11657320767192,NA,NA,NA,NA
"preserved ~ CumErr",1740.42538625325,74.6420393519029,6.18994935517979e-17,6.18994935517979e-17,0.120058688336207,3.2058696572773,-1.11657320767192,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1742.21945480809,1.79406855483921,0.407777222323711,0.289660335355209,0.120185117814236,3.35119090400543,-1.11026919354743,NA,NA,-0.0190208701998062,NA
"preserved ~ CumPres",1837.99867391395,188.380054514693,1.24105466624506e-41,1.24105466624506e-41,0.0594801546611932,2.07272822405188,NA,NA,NA,NA,0.357660713271296
"preserved ~ pos",1923.37440168201,257.591054780662,1.16094905019142e-56,1.16094905019142e-56,0.00535482484052634,2.46532165690923,NA,NA,0.0901687324461785,NA,NA
"preserved ~ I(pos^2) + pos",1924.74914240393,256.970679011389,1.58316451560671e-56,1.58316451560671e-56,0.00575506979581284,2.32851189357743,NA,-0.0111058358829167,0.181835227442571,NA,NA
"preserved ~ stimlen",1925.64236815397,185.216981900719,6.03452933570946e-41,4.28656554461701e-41,0.00390255955007367,3.54296624093473,NA,NA,NA,-0.0963027995199484,NA
