"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos + log_freq",1477.07451781326,0,1,0.290904418331051,0.12410104390015,4.69621055887169,NA,0.188787650150821,NA,-0.379648807191971,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1478.81363260039,1.73911478712648,0.419137020942481,0.121928811278282,0.124287064381778,4.51380014855281,0.029984356770748,0.192910549445898,NA,-0.390947115809566,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1478.91234178178,1.83782396852484,0.398952872037594,0.116057153181599,0.125642381995966,4.61166317036447,0.015488704081361,0.485959580466573,-0.0356646232502297,-0.390196040094332,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1479.02512559457,1.95060778131096,0.377077745746594,0.109693582291997,0.124136263259639,4.70971093134703,NA,0.210394806426488,NA,-0.38239993345811,-0.00403971298003899,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1479.67164685217,2.59712903891068,0.272923288045224,0.0793945903577938,0.12510119656551,4.94645891072092,0.017923780326654,0.191700457474977,NA,-0.55479694038205,NA,NA,0.0163867902690512,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1479.89220457535,2.81768676208958,0.244425827268961,0.0711045531067632,0.126369308720493,5.01932695296864,0.0042536304312083,0.479029673874099,-0.0349223740295702,-0.54492101945964,NA,NA,0.0154767415656548,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1480.0273059505,2.95278813724121,0.228460016004932,0.0664600280678175,0.126273049309623,4.95821431812969,NA,-0.028326337311982,NA,-0.493812585056328,0.105878436377351,NA,0.010594941175593,-0.0105644961793253,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1480.5798306061,3.50531279283632,0.173312943539834,0.0504175010296978,0.125879342555281,4.62233465494932,0.00747344075808094,0.499249873072709,-0.0457568207472954,-0.380139380826471,NA,0.0128665986596831,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1480.72632632704,3.65180851378045,0.161071927856648,0.0468565354825991,0.124349314133634,4.51733197229301,0.0324080841494531,0.22236027859419,NA,-0.395582310564003,-0.00544256839075386,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1481.91028748571,4.83576967244767,0.0891099002978775,0.025922463713692,0.126356424880249,4.81176448496866,0.0207395480049211,-0.0211617323999633,NA,-0.49130329367308,0.105286098250695,NA,0.00952866200425103,-0.0105996673119657,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1482.30854637604,5.23402856277767,0.0730205565142524,0.0212420025189882,0.127497416180017,4.92139148461099,-0.000801399051184057,0.254497138217629,-0.0400610593752942,-0.488041114879155,NA,0.105427034675851,0.0105747211582103,NA,-0.00903127487657308,NA,NA
"preserved ~ pos",1498.41089275384,21.336374940583,2.32736795189211e-05,6.77041620287503e-06,0.107411611140431,4.70958530414937,NA,NA,NA,-0.397086774719636,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1499.2508691564,22.1763513431388,1.52920775392111e-05,4.44853292161754e-06,0.108243552229134,5.06673237216405,NA,NA,NA,-0.563664557927775,NA,NA,0.0161532390104102,NA,NA,NA,NA
"preserved ~ stimlen + pos",1500.19644400304,23.1219261897791,9.53097921404829e-06,2.77260396438806e-06,0.107565427033779,4.86750357722503,-0.0263900383968533,NA,NA,-0.386388264819382,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1500.79578670219,23.7212688889344,7.06304395368205e-06,2.05467069299252e-06,0.108569859776615,5.34248593236796,-0.0391656277571457,NA,NA,-0.567134428311148,NA,NA,0.018032498554462,NA,NA,NA,NA
"preserved ~ stimlen * pos",1500.91881170436,23.8442938910996,6.64167115913341e-06,1.93209148529382e-06,0.108481650925001,5.86228815859785,-0.144301187203188,NA,NA,-0.625148893620545,NA,NA,NA,NA,NA,0.0274218696210128,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1504.15898923565,27.0844714223897,1.31426141569343e-06,3.8232445266724e-07,0.109026399293928,4.71703208728042,0.0177328191591769,NA,NA,-0.0700679046181186,NA,NA,-0.0543045244039534,NA,NA,-0.0490168247033901,0.00733861390522478
"preserved ~ stimlen * log_freq",1586.57520248369,109.500684670429,1.66812442527395e-24,4.85264765638137e-25,0.0463948744963089,4.8490664506697,-0.242022334262437,0.487575302223579,-0.0369223519729015,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1586.66979060682,109.59527279356,1.59106855085936e-24,4.62848871312569e-25,0.0448597279286552,4.74540551791542,-0.227235022121277,0.183054428343922,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1606.57866285043,129.504145037167,7.56018135185177e-29,2.1992901586377e-29,0.0287536295549665,5.08453645727206,-0.278577192993757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1643.3924061497,166.317888336444,7.6653047682519e-37,2.22987102493855e-37,-6.53438269646214e-16,2.88053517505295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
