"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1172.56849079448,0,1,0.999999551658665,0.334399636875802,4.94883417110636,-2.28703157544795,0.0261061402086581,-0.481315703656451,NA,NA
"preserved ~ CumErr + pos",1172.74771630922,0,1,0.999999509626392,0.332961257716842,4.44188905259679,-2.30133913320027,NA,-0.225558986956602,NA,NA
"preserved ~ CumErr + CumPres",1185.59025814301,0,1,0.999698616884077,0.324468522949401,4.02494343107713,-2.56198261172382,NA,NA,NA,-0.171394639188706
"preserved ~ CumErr + stimlen",1196.99827278399,0,1,0.917042055234104,0.316901261492905,4.56999160855269,-2.52103830330286,NA,NA,-0.138458829347121,NA
"preserved ~ CumErr",1201.80391187028,29.2354210758035,4.48341535970145e-07,4.48341334960103e-07,0.312376475911373,3.50122914607799,-2.58764541817934,NA,NA,NA,NA
"preserved ~ CumErr",1201.80391187028,4.80563908629301,0.0904625303631448,0.0829579447658958,0.312376475911373,3.50122914607799,-2.58764541817934,NA,NA,NA,NA
"preserved ~ CumErr",1201.80391187028,16.2136537272686,0.000301473975089341,0.000301383115923358,0.312376475911373,3.50122914607799,-2.58764541817934,NA,NA,NA,NA
"preserved ~ CumErr",1201.80391187028,29.0561955610608,4.90373848545093e-07,4.90373608078699e-07,0.312376475911373,3.50122914607799,-2.58764541817934,NA,NA,NA,NA
"preserved ~ pos",1498.41089275384,325.663176444625,1.9192862656059e-71,1.91928532443857e-71,0.107411611140431,4.70958530414937,NA,NA,-0.397086774719636,NA,NA
"preserved ~ I(pos^2) + pos",1499.2508691564,326.682378361923,1.15298291304565e-71,1.15298239611575e-71,0.108243552229134,5.06673237216405,NA,0.0161532390104102,-0.563664557927775,NA,NA
"preserved ~ stimlen",1606.57866285043,409.580390066441,1.15013375378342e-89,1.05472102136367e-89,0.0287536295549665,5.08453645727206,NA,NA,NA,-0.278577192993757,NA
"preserved ~ CumPres",1630.35376736219,444.763509219184,2.63530628078504e-97,2.63451204396672e-97,0.0111742969886723,3.26019310743383,NA,NA,NA,NA,-0.12953562581136
