"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * (I(pos^2) + pos)",3842.45133286841,0,1,0.295564082368612,0.193134646076313,2.84738227119399,0.069573612875233,NA,NA,-0.406125750776311,NA,NA,0.033601704153406,NA,NA,-0.05107265554018,0.00186680073944215
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3842.85102259706,0.399689728655176,0.818857777276623,0.242024947531166,0.193000957248716,3.77030259124489,-0.0742564527003619,0.218554080246282,-0.0265540417912279,-0.703379670128495,NA,NA,0.0349845495925797,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",3842.88209162663,0.430758758220691,0.80623551323811,0.238294259643209,0.191651852180762,3.8740239193538,-0.0831078339019656,NA,NA,-0.711734737365232,NA,NA,0.0358833745076238,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3844.74687693938,2.29554407097839,0.317343011312889,0.0937951959347861,0.191697128611894,3.85431049779849,-0.0806242660081568,0.00798150817713688,NA,-0.711309901758577,NA,NA,0.0358391378950823,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3844.84463253707,2.39329966866126,0.302204954553064,0.0893209300797243,0.193671915678297,3.79368162757511,-0.0753105725424518,0.362759054204885,-0.0309197797520135,-0.715192200944828,NA,-0.0600186797000869,0.0365510618915054,NA,0.00657730792685594,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3847.03780196532,4.58646909691788,0.100939439745297,0.0298340728831206,0.192269270788564,3.84637241797952,-0.0783515952777,0.129809171684831,NA,-0.715738799858009,-0.0524148020985566,NA,0.0361959069575689,0.00470649456157021,NA,NA,NA
"preserved ~ I(pos^2) + pos",3849.592735359,7.14140249059301,0.0281361164414695,0.00831602543743935,0.188731706268889,3.2701435168686,NA,NA,NA,-0.698095342528356,NA,NA,0.0314161720393158,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3852.2021768125,9.75084394409896,0.00763187310216286,0.00225570757019446,0.18986914947109,3.27072347402215,NA,0.154926908542669,NA,-0.700702760896577,-0.053183949300974,NA,0.0318179100234,0.00438510208526024,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3857.14586388271,14.6945310143064,0.000644351929236177,0.000190447286687136,0.187538634707745,3.02455235014772,-0.0530568939505998,0.237896019644904,-0.0289989131303225,-0.385144554301771,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",3858.0489285922,15.5975957237961,0.000410227833189784,0.000121248613078803,0.185890446439413,3.11708713229863,-0.0622163680185071,NA,NA,-0.385252222451551,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3859.01755565062,16.5662227822163,0.000252749572588875,7.47036954912897e-05,0.187581737553515,3.02545054212372,-0.0525224126362555,0.23854140219269,-0.0267817466541982,-0.386311343273746,NA,-0.00405216444476881,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",3859.29083972181,16.8395068534041,0.000220469007898986,6.5162720010382e-05,0.18614542069501,3.46949761322975,-0.104895282380404,NA,NA,-0.48420970778742,NA,NA,NA,NA,NA,0.0116603137487494,NA
"preserved ~ stimlen + pos + log_freq",3859.87106138899,17.419728520581,0.000164950643306122,4.87534855248862e-05,0.185950274547522,3.09549693417799,-0.0593871317489186,0.00916665034172607,NA,-0.38522710606336,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3860.34469824686,17.8933653784584,0.000130168253163737,3.84730602998652e-05,0.186463572820699,3.07604509247791,-0.0553478780716252,0.065676192373002,NA,-0.389095266024205,-0.0126377587562226,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3861.17438664212,18.7230537737159,8.59687339222508e-05,2.54092699541214e-05,0.184165222791503,2.72265257464146,NA,NA,NA,-0.405965701006775,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",3862.10958039922,19.658247530816,5.38599302606541e-05,1.59190608639277e-05,0.185197113183003,2.72226574903309,NA,0.0861676126424088,NA,-0.406914952516355,-0.01496254695798,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",3862.27418387365,19.8228510052409,4.9604673612177e-05,1.46613598373776e-05,0.184468398687826,2.71446391298443,NA,0.0200099868000983,NA,-0.403827530175129,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",4240.19053411828,397.739201249878,4.28577957022432e-87,1.2667225059075e-87,0.0514015867328492,2.98085444137695,-0.252623660086903,0.229751867052014,-0.0276176957956987,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",4241.19805979584,398.746726927437,2.58969375333229e-87,7.65420457819384e-88,0.0495386027698015,3.06994054663276,-0.261547286863991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",4242.98504107238,400.533708203976,1.05976691082361e-87,3.13229034522199e-88,0.0496179036251469,3.04815561180027,-0.258677741191776,0.00944460494194954,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",4369.98678592419,527.535453055781,2.79983130296469e-115,8.27529569847674e-116,0,1.03534598973542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
