"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","I(pos^2)","pos","stimlen","CumPres","CumErr"
"preserved ~ (I(pos^2) + pos) + CumPres",3700.1364894664,0,1,1,0.23856351879222,3.80454573970786,0.0556922239771786,-1.2426721810489,NA,0.495289149505827,NA
"preserved ~ (I(pos^2) + pos) + CumErr",3751.17982394691,51.0433344805142,1,1,0.221990925117224,3.29108445451642,0.0493507110552231,-0.728840205984261,NA,NA,-0.500388187510253
"preserved ~ (I(pos^2) + pos) + stimlen",3842.88209162663,142.745602160228,1,0.966278675543797,0.191651852180762,3.87402391935375,0.0358833745076221,-0.711734737365212,-0.0831078339019664,NA,NA
"preserved ~ (I(pos^2) + pos)",3849.592735359,149.4562458926,0.0348981358170045,0.0337213244562026,0.188731706268889,3.2701435168686,0.0314161720393158,-0.698095342528356,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",3849.592735359,149.4562458926,3.51551181155955e-33,3.51551181155955e-33,0.188731706268889,3.2701435168686,0.0314161720393158,-0.698095342528356,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",3849.592735359,149.4562458926,4.2648897890572e-22,4.2648897890572e-22,0.188731706268889,3.2701435168686,0.0314161720393158,-0.698095342528356,NA,NA,NA
"preserved ~ CumErr",3935.07755478775,234.941065321349,1.16711897709294e-40,1.16711897709294e-40,0.159028874892805,1.50964392496347,NA,NA,NA,NA,-0.842508327215822
"preserved ~ CumPres",4229.19918488059,529.062695414195,1.30465415094461e-115,1.30465415094461e-115,0.0539985197780416,1.63524627311642,NA,NA,NA,-0.258288769097428,NA
"preserved ~ stimlen",4241.19805979584,541.061570329444,3.21208097486528e-87,3.10376535013225e-87,0.0495386027698015,3.06994054663276,NA,NA,-0.261547286863991,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
