"","word_num_this_length","word_length","word_position","rep","word_num","p_correct_theory","prev_cor","prev_err","correct"
"1",1,4,1,1,1,0.5,0,0,0
"2",1,4,2,1,2,0.5,0,1,1
"3",1,4,3,1,3,0.55,1,1,0
"4",1,4,4,1,4,0.55,1,2,0
"5",2,4,1,1,5,0.5,0,0,0
"6",2,4,2,1,6,0.5,0,1,1
"7",2,4,3,1,7,0.55,1,1,1
"8",2,4,4,1,8,0.6,2,1,0
"9",3,4,1,1,9,0.5,0,0,1
"10",3,4,2,1,10,0.55,1,0,1
"11",3,4,3,1,11,0.6,2,0,1
"12",3,4,4,1,12,0.65,3,0,1
"13",4,4,1,1,13,0.5,0,0,1
"14",4,4,2,1,14,0.55,1,0,1
"15",4,4,3,1,15,0.6,2,0,0
"16",4,4,4,1,16,0.6,2,1,0
"17",5,4,1,1,17,0.5,0,0,1
"18",5,4,2,1,18,0.55,1,0,1
"19",5,4,3,1,19,0.6,2,0,1
"20",5,4,4,1,20,0.65,3,0,1
"21",6,4,1,1,21,0.5,0,0,1
"22",6,4,2,1,22,0.55,1,0,1
"23",6,4,3,1,23,0.6,2,0,0
"24",6,4,4,1,24,0.6,2,1,1
"25",7,4,1,1,25,0.5,0,0,1
"26",7,4,2,1,26,0.55,1,0,1
"27",7,4,3,1,27,0.6,2,0,1
"28",7,4,4,1,28,0.65,3,0,1
"29",8,4,1,1,29,0.5,0,0,1
"30",8,4,2,1,30,0.55,1,0,0
"31",8,4,3,1,31,0.55,1,1,1
"32",8,4,4,1,32,0.6,2,1,1
"33",9,4,1,1,33,0.5,0,0,1
"34",9,4,2,1,34,0.55,1,0,0
"35",9,4,3,1,35,0.55,1,1,0
"36",9,4,4,1,36,0.55,1,2,0
"37",10,4,1,1,37,0.5,0,0,1
"38",10,4,2,1,38,0.55,1,0,1
"39",10,4,3,1,39,0.6,2,0,1
"40",10,4,4,1,40,0.65,3,0,1
"41",11,4,1,1,41,0.5,0,0,0
"42",11,4,2,1,42,0.5,0,1,0
"43",11,4,3,1,43,0.5,0,2,1
"44",11,4,4,1,44,0.55,1,2,0
"45",12,4,1,1,45,0.5,0,0,1
"46",12,4,2,1,46,0.55,1,0,0
"47",12,4,3,1,47,0.55,1,1,1
"48",12,4,4,1,48,0.6,2,1,1
"49",13,4,1,1,49,0.5,0,0,1
"50",13,4,2,1,50,0.55,1,0,0
"51",13,4,3,1,51,0.55,1,1,1
"52",13,4,4,1,52,0.6,2,1,0
"53",14,4,1,1,53,0.5,0,0,0
"54",14,4,2,1,54,0.5,0,1,1
"55",14,4,3,1,55,0.55,1,1,1
"56",14,4,4,1,56,0.6,2,1,0
"57",15,4,1,1,57,0.5,0,0,1
"58",15,4,2,1,58,0.55,1,0,1
"59",15,4,3,1,59,0.6,2,0,1
"60",15,4,4,1,60,0.65,3,0,1
"61",16,4,1,1,61,0.5,0,0,0
"62",16,4,2,1,62,0.5,0,1,1
"63",16,4,3,1,63,0.55,1,1,1
"64",16,4,4,1,64,0.6,2,1,0
"65",17,4,1,1,65,0.5,0,0,1
"66",17,4,2,1,66,0.55,1,0,1
"67",17,4,3,1,67,0.6,2,0,0
"68",17,4,4,1,68,0.6,2,1,0
"69",18,4,1,1,69,0.5,0,0,1
"70",18,4,2,1,70,0.55,1,0,0
"71",18,4,3,1,71,0.55,1,1,0
"72",18,4,4,1,72,0.55,1,2,1
